city,name,street,tags,zipcode,full_address,latlon,missing
Brussel,Arcadi,Arenbergstraat 1b,['Eethuis'],1000,Arenbergstraat 1b 1000 Brussel,"(50.848438284312294, 4.35583037656129)",False
Antwerpen,Ardent,Dageraadplaats 3,"['Eethuis', 'Veganvriendelijk']",2018,Dageraadplaats 3 2018 Antwerpen,"(51.20677790074904, 4.430586524355107)",False
Elsene,Au Palais des Indes,Louizalaan 263,"['Eethuis', 'EVA voordeel']",1050,Louizalaan 263 1050 Elsene,"(50.82445482165293, 4.366197226432464)",False
Gent,Avalon,Geldmunt 32,"['Cateraar', 'Eethuis', 'Gastronomisch', '100% vegetarisch', 'EVA voordeel', 'Veganvriendelijk']",9000,Geldmunt 32 9000 Gent,"(51.05771240054376, 3.721233250453135)",False
Antwerpen,Azuma,Verlatstraat 39,['Eethuis'],2000,Verlatstraat 39 2000 Antwerpen,"(51.209982535190655, 4.393771366034952)",False
Poeke,Bacchus,Aalterweg 10,['Eethuis'],9880,Aalterweg 10 9880 Poeke,"(51.1218037874967, 3.4282576316061175)",False
Tielt-Winge,Bakkerij Hans,Haksberg 43,['Cateraar'],3390,Haksberg 43 3390 Tielt-Winge,"(50.95493478850118, 4.914218355575642)",False
Wommelgem,Bali,Autolei 217,['Eethuis'],2160,Autolei 217 2160 Wommelgem,"(51.20823263872455, 4.4899724997553125)",False
Brussel,Bambou Fleur,Jules van Praetstraat 13,['Eethuis'],1000,Jules van Praetstraat 13 1000 Brussel,"(50.84833842321012, 4.348602688989273)",False
Overpelt,Bananasplit,Dorpsstraat 55,['Eethuis'],3900,Dorpsstraat 55 3900 Overpelt,"(51.213289318590704, 5.423767332333873)",False
Waregem,BAOBAB Catering,"Mirakelstraat 104A, 8790 Waregem",['Cateraar'],8790,"Mirakelstraat 104A, 8790 Waregem 8790 Waregem",,True
Brussel,Bar Bik,Quai Aux Pierres De Taille 3,"['Eethuis', 'Veganvriendelijk']",1000,Quai Aux Pierres De Taille 3 1000 Brussel,"(50.85547627038862, 4.34975009447347)",False
Antwerpen,Bar Buenos Aires,Koepoortbrug 3,['Snack'],2000,Koepoortbrug 3 2000 Antwerpen,"(51.22363339700229, 4.403512495813195)",False
Antwerpen,Bar d'Office,Dambruggestraat 29,['Snack'],2060,Dambruggestraat 29 2060 Antwerpen,"(51.21972495373421, 4.4230752880307165)",False
Antwerpen,Bar Italia,Graaf Van Egmontstraat 59,['Eethuis'],2000,Graaf Van Egmontstraat 59 2000 Antwerpen,"(51.21008126283823, 4.394429678642773)",False
Leuven,Bar Stan,Constantin Meunierstraat 2,['Eethuis'],3000,Constantin Meunierstraat 2 3000 Leuven,"(50.8713438612334, 4.702542071888302)",False
Gent,Barista coffee&cake,Hippoliet Lippensplein 25 en Meersseniersstraat 16,"['Snack', 'Veganvriendelijk']",9000,Hippoliet Lippensplein 25 en Meersseniersstraat 16 9000 Gent,"(51.05017292175058, 3.729937197766088)",False
